Restaurant,Customer,Date,Rating,Review
El Fayoumi Pizza,Mohamed E***,09 December 2022,OK,اسوء فطير كلته في حياتي.. المكونات طعمها في منتهى السوء و بارد و محروق
El Fayoumi Pizza,Hoda S***,23 October 2022,Good,حلوة جدا
El Fayoumi Pizza,اسامه ا***,11 September 2022,OK,البوكس اللي جتي في الاورَر مخروم ومقطوع و البيتزا محروقه
El Fayoumi Pizza,Bedo A***,05 August 2022,Good,بسبب وجود خصم ٥٠ جنية لقيت الحشو مش مليان واقل من العادي بكتير جدا و العجينة بتاعت الايطالي وحشة اوي
El Fayoumi Pizza,Yaya W***,01 August 2022,OK,سيئ للغاية عجيبه البيتزا ناشفة جدا الفراخ مش مستوية رائحة البيتزا وحشه محروقة من الأطراف
El Fayoumi Pizza,Amr N***,01 August 2022,OK,اسوء كريب
El Fayoumi Pizza,ملك ه***,23 July 2022,Very good,الفطيرة مش بالنوتيلا ديه شيكولاتة عادية
El Fayoumi Pizza,Ahmed E***,20 July 2022,Good,اوحش بيتزا و فطير و كريب كلتهم في حياتي و ال Quality وحشة جدا تحس انها لحمة بايظة الفطير معمول بمايه ياريت محدش ياكل منو و تشليوه من ال APP
El Fayoumi Pizza,Ahmed A***,16 July 2022,Good,البيتزا مفيش أسوء من كدا آخر مرة
El Fayoumi Pizza,احمد م***,15 July 2022,OK,البيتزا كان طعمنا سيئ جدا جدا مقدرتش اكل نصها
El Fayoumi Pizza,Samar M***,09 July 2022,Good,اسوا برجر وفهيتا في دنيا ده غير ان تغليف سي جدددا والاكل مجهول الهويه وطعمو زي وحش جداا منصحش ان ناس تاكل من عندهم ده غير اني تعبت جدااا
El Fayoumi Pizza,mohamed a***,18 June 2022,Good,مرجعليش الباقى ومشى
El Fayoumi Pizza,وليد ا***,14 June 2022,Good,مطعم سئ جدا منصحش حد بية
El Fayoumi Pizza,Mahmoud F***,11 June 2022,Very good,اللى مجربش القنبلة لازم يجربها ياريت تفضل نفس المستوى
El Fayoumi Pizza,saso e***,07 June 2022,OK,دخلت المستشفي اكل متلوث
El Fayoumi Pizza,محمد ا***,05 June 2022,OK,الفراخ نيه والله العظيم و لاقيت عضمه
El Fayoumi Pizza,احمد غ***,04 June 2022,OK,اسوء عجينة بيتزا جربتها . عيش فينو بالضبط و طعم الجبن معدوم
El Fayoumi Pizza,Amr E***,19 May 2022,Very good,الفطير عالمى اقسم باللة و البيتزا حلوة قوى استمرو
El Fayoumi Pizza,Shereef E***,14 May 2022,Good,غالي جدا جدا و اللحوم طعمها سئ جدا
El Fayoumi Pizza,HassanKhourshed H***,08 May 2022,OK,طلبت الاكل الساعة ٤ الصبح جالي من السيدة زينب للهرم بعد ساعتين و نص و الاكل فضل معاه ساعة و زيادة علي مجالي فوصل ساقع و مجلد و الاكل مش احسن حاجة و السندوتشات و الفطير فاضي
El Fayoumi Pizza,h2222mdi .***,05 May 2022,Good,البطاطس محروقة +الملح زيادة في المكرونة
El Fayoumi Pizza,Sara S***,03 May 2022,OK,الاكل كله وحش اوي وطعمه استغفر الله العظيم يارب ميتاكلش والله خالص بقي انا غلطانه اني جبت من عندكم اصلا والاوردر خد ساعتين لحد ما جالي
El Fayoumi Pizza,Hesham Samy H***,02 May 2022,OK,لا الورد جه صح ولا جه عدل والكلوسلو جه فيه ميه وطعمة أستغفر الله اول مرة يجيلي حاجه كده من القليوبي
El Fayoumi Pizza,Mady E***,02 May 2022,Good,اسوء تجربه اكل من طلبات الاكل جاي محروق و الاوردر جاي غلط و القيمه مقابل الاكل فعلا سئ جدا اخر مره اطلب من طلبات
El Fayoumi Pizza,Ramy S***,01 May 2022,OK,القيمه غير متوافقه مع السعر
El Fayoumi Pizza,Mohamed A***,01 May 2022,OK,الاوردر كان ناقص البيتزا كانت صغيره ومش مليانه خالص على سعرها والراجل بتاع الديلفرى كلمنى 6 مرات والمطعم مرتين عشان يوصلو الاوردر
El Fayoumi Pizza,Sara N***,19 April 2022,OK,البيتزا كانت صغيرا جدا مقارنة بسعرها و ملهاش طعم و اغلبها عجين بدون حشوة و باعتين بطاطس نية
El Fayoumi Pizza,yehia h***,29 March 2022,OK,الاكل كله جيه عجين و جبنه سيحه و بس و جمبري مجمد مالوش طعم تجربه مش هاتتكرر تاني
El Fayoumi Pizza,Mohamed S***,26 March 2022,Good,الاكل كان بارد وطعم غير ما كان ف توقعاتى
El Fayoumi Pizza,Ahmed R***,23 March 2022,Good,عادي
El Fayoumi Pizza,محمد ع***,22 March 2022,OK,كريب شاورما لحم وحشة جدا كمية أقل اوي
El Fayoumi Pizza,Ahmed H***,10 March 2022,OK,المحل مش بيكتب العنوان للدليفري ولازم ابعتله لوكيشن و يكلمني كل شويه
El Fayoumi Pizza,sara m***,08 March 2022,Good,الفطيرة جاءت محروقة وطعمها سئ
El Fayoumi Pizza,hamad a***,28 February 2022,Amazing,سيئ جدا كطعم وجودة ورجل التوصيل غير امين بالحساب
El Fayoumi Pizza,Mőĥâmëd Ğmàĺ ***,24 February 2022,Amazing,ممتاز جدا والاكل كان. جميل تسلم ايداهم
