Chili'sORDER ONLINE,Rady Mahmoud,a year ago,5,"the order came in 2 minutes, the food was tasty, warm, and with fresh chicken. I will order again for sure and advise you to try too."
Chili'sORDER ONLINE,nehal ali,a year ago,3,Chicken wasn’t fresh
Chili'sORDER ONLINE,nada,a year ago,3,Everytime the food comes without a spoon or fork👎👎
Chili'sORDER ONLINE,Umm Abdullaah,a year ago,5,Bag was opened
Chili'sORDER ONLINE,Karen Emad,a year ago,2,The portions changed and the plate as well
Chili'sORDER ONLINE,Passant Zaher,a year ago,3,Cold food
Chili'sORDER ONLINE,Amira Mahmoud,a year ago,1,الاكل بقي مستواه مش كويس ، بعتين البرجر في فويل ومنغير علبة و البرجر ناشف حجر و سندوتشات التامة الفراخ الصوص مياه و كتير و العيش مبلول ، اوردر سئ جدا جدا
Chili'sORDER ONLINE,inas,a year ago,2,Home made style fries was very disappointing. And the burger itself was yum. The order wasn’t wrapped properly. I guess home delivery wasn’t a good idea. I would prefer dining in.
Chili'sORDER ONLINE,Pakinam El-Ganainy,a year ago,1,"The order was tottaly Miss, the order was arrived in the packaging as it is a fish restaurant. The corn In a paper package!!!!! The toast came over the pasta in the same box. It was very bad, The pasta sauce was outside the packages dont know why!! I..."
Chili'sORDER ONLINE,Muhab Abdelwaged,a year ago,1,"WORST BURGER OF ALL TIME OILY & bad smelling , awful taste really gross"
Chili'sORDER ONLINE,Mona,a year ago,1,"Should have came with 3 different sauces, yet came with only one wrong sauce! Tasteless Worst order ever"
Chili'sORDER ONLINE,Margreet,a year ago,1,The steak was HORRIBLE!!!
Chili'sORDER ONLINE,Hoda Mamdouh,a year ago,2,chips طعمها قديم جداااااااااااااااااااااااا
Chili'sORDER ONLINE,Rehab Helmy,a year ago,1,الساندوتشات مكانتش طازة وكان فيها نوع جبنة مش حلو والعيش مفرول والبطاطس كانت شاربة زيت وساندوتش الفراخ الطبقة اللي فوق متشالة
Chili'sORDER ONLINE,Moheb Samir,a year ago,1,Food was cold and the burger didn't taste good and the bread wasn't fresh
Chili'sORDER ONLINE,Nader Amgad,a year ago,1,الاكل جي نصوا فاضي و البرجر ساقع مش بارد
Chili'sORDER ONLINE,Ayman Attallah,a year ago,1,"very bad burger sandwiches, i really regretted to order such cold and bad bread sandwiches, will never eat from this restaurant again ,even they taste another thing except of burger."
Chili'sORDER ONLINE,Mohamed Mansour,a year ago,1,The chicken ranch is 90% sauce 10% chicken almost non existent. The beef burger was so greasy.
Chili'sORDER ONLINE,Sandra Bahaa,a year ago,1,very bad sandwich’s taste Very bad experience
Chili'sORDER ONLINE,abdulmohsen,a year ago,5,ممتازين loved it
Chili'sORDER ONLINE,Ashraf Raafat,a year ago,5,Just the order came short off the loaded potatoes but corrected fast
Chili'sORDER ONLINE,Mariam,a year ago,1,الاكل وصل بارد جدا وكمان عرقان والتغليف سئ
Chili'sORDER ONLINE,Talia,a year ago,4,Nice
Chili'sORDER ONLINE,Omar,a year ago,1,worst food i have ever had the burger is so bad
Chili'sORDER ONLINE,Sarah Helmy,a year ago,3,Didnt taste like old timer
Chili'sORDER ONLINE,Mohamed,a year ago,3,Late delivery and unavailable ingredients
Chili'sORDER ONLINE,Abdelrahman El-Diasty,a year ago,1,Worst burger I’ve ever had
Chili'sORDER ONLINE,amgad shams,a year ago,1,such a terrible experience. low quality food and the bread wasn't fresh. such a shame for a brand name as Chillis
Chili'sORDER ONLINE,Hala Moustafa,a year ago,1,امبارح طلبت نفس الطلب وكان حجم السلطه كالمعتاد بس النهارده كان نص الكميه تقريبا مافيش خص ده حتي الخص رخيص بس الفراخ نفس الكمية والتوستادو ناشف وسميك جدا
Chili'sORDER ONLINE,eslam mohamed,a year ago,1,اسوء فاهيتا أكلتها في حياتي، الفراخ مسلوقة وبعد كدا متشوحة، وكمية بصل رهيبة ومتقطع كبير جدا غير الطبيعي ومحرووق
Chili'sORDER ONLINE,Hamza Raslan,a year ago,3,Cold
Chili'sORDER ONLINE,Omar Yasser,a year ago,1,"the burgers came with bad cheese and caused us all to vomit. Usually chillis is good, i dont know what is going on."
Chili'sORDER ONLINE,Ahmed Ibrahim,a year ago,1,سيئ جدا جدا
Chili'sORDER ONLINE,Aseel,a year ago,4,Bit cold
Chili'sORDER ONLINE,Fayez Gaby,a year ago,1,We got food poisoning!!
Chili'sORDER ONLINE,Youssef Ramadane,a year ago,5,Excellent taste as always
Chili'sORDER ONLINE,Maha Waleed,a year ago,2,I asked the deiver to get exchange with him 10 LE and he told me ok .. then when he came he asked to take the money all and i wait for him to get me the exchange i told him no i will wait till u get them then will pay u .. رد علي بصوت عالي علي باب ال...
Chili'sORDER ONLINE,mohamed,a year ago,1,بيرجر سيء جدا جدا جدا جدا جدا جدا جدا جدا جدا
Chili'sORDER ONLINE,Margreet,a year ago,1,Didn’t receive the order
Chili'sORDER ONLINE,tamer,a year ago,5,portions getting smaller
Chili'sORDER ONLINE,Wesam Lotfy,a year ago,1,"I ordered soup in a bowl and I got something not soup at all in a cup, the taste is owful of all dishes also they add extra delivery fees to the order"
Chili'sORDER ONLINE,islam bahaa,a year ago,1,اسواء اكل في مصر برجاء مقاطعة هذا المطعم
Chili'sORDER ONLINE,Mahmoud Mostafa,a year ago,1,"My order should've been some elaborate Blue cheese Burger but they brought me instead some stupid Burger full of jalapeno, tomatoes, and bare onions—it was horrible. My dining experience with Chili's has been positive so far but this review is concer..."
Chili'sORDER ONLINE,bnolen,a year ago,1,never delivered
Chili'sORDER ONLINE,Sherif Saad,a year ago,1,very very cold and very bad taste rapping is poor and it is very very bad experience
Chili'sORDER ONLINE,Mohamed Adel,a year ago,1,The food is colder than the north pole Tastes like radioactive materials And a smell that makes you want to throw up
